"","Covariate","lower","upper","Method","Estimate"
"1","(Intercept)",-2.12903391838856,-1.18259636014701,"Combined",-1.62719898811482
"2","sex",-1.13382382166841,0.439741995969519,"Combined",-0.335880969103729
"3","age",0.991037517115713,1.80187374718338,"Combined",1.37173890696173
"4","ISS",0.189974687430088,0.923114904217971,"Combined",0.549924776418228
"5","GCS",-2.50449100774873,-1.56474880314965,"Combined",-2.00007771707859
"6","(Intercept)",-1.9662049752188,-0.984232694891258,"BCA",-1.47521883505503
"7","sex",-1.07891595040878,0.600172368914728,"BCA",-0.239371790747023
"8","age",0.80904725303937,1.68103741514344,"BCA",1.2450423340914
"9","ISS",0.107147633709838,0.875139652923787,"BCA",0.491143643316813
"10","GCS",-2.26906760125395,-1.27659792043933,"BCA",-1.77283276084664
"11","(Intercept)",-1.90702681954568,-0.974035402838352,"BFI",-1.44053111119201
"12","sex",-1.08846730856283,0.514699962284868,"BFI",-0.286883673138983
"13","age",0.823803387203239,1.64477853630646,"BFI",1.23429096175485
"14","ISS",0.145513445958027,0.8932930953873,"BFI",0.519403270672663
"15","GCS",-2.22098136654157,-1.28399380035168,"BFI",-1.75248758344662
"16","(Intercept)",-2.11918265376374,-1.19075840834833,"INLA",-1.65497053105604
"17","sex",-1.12216347054477,0.424519441740033,"INLA",-0.348822014402367
"18","age",1.00105220734237,1.79844848593345,"INLA",1.39975034663791
"19","ISS",0.200427578289308,0.926345881160058,"INLA",0.563386729724683
"20","GCS",-2.50209657873168,-1.58151622484003,"INLA",-2.04180640178586
"21","(Intercept)",-1.92985374586383,-0.958395307961079,"FE",-1.44412452691245
"22","sex",-1.05984602736868,0.587526735031084,"FE",-0.236159646168796
"23","age",0.784024653446927,1.64930638778617,"FE",1.21666552061655
"24","ISS",0.106995023261671,0.871763034632009,"FE",0.48937902894684
"25","GCS",-2.2259822414014,-1.24309412792157,"FE",-1.73453818466149
"26","(Intercept)",-2.03249790740814,-0.919608880110483,"REML",-1.47605339375931
"27","sex",-1.08803380274465,0.659816500911722,"REML",-0.214108650916465
"28","age",0.824805384321648,1.87620545898565,"REML",1.35050542165365
"29","ISS",0.0866985932581749,1.03042311833535,"REML",0.558560855796761
"30","GCS",-2.39450677282179,-1.25909990216406,"REML",-1.82680333749293
